Spalte;Default;DataType;Condition;LogScale
cceboost;10;Integer;?;1
cceboostvlim;1000000;Integer;?;0
cce2wait;1;Integer;?;0
cce3wait;2;Integer;?;0
ccemaxeff;2147483647;Integer;?;0
ccemineff;30000000;Integer;?;0
cceonlyifstuck;0;OneHot;?;0
ccereleff;20;Integer;?;0
ccertc;0;OneHot;?;0
ccesuccesslim;10000;Integer;?;0
ccesuccessrat;1000;Integer;?;1
ccewait;2;OneHot;?;0
cgrclsr;1;OneHot;?;0
cgrclsrwait;2;OneHot;?;0
cgreleff;1;Integer;?;0
cgrextand;1;OneHot;?;0
cgrexteq;1;OneHot;?;0
cgrextite;1;OneHot;?;0
cgrextunits;1;OneHot;?;0
cgrextxor;1;OneHot;?;0
cgrmaxeff;8000000;Integer;?;0
cgrmaxority;20;Integer;?;0
cgrmineff;200000;Integer;?;0
cintinc;20000;Integer;?;1
cintincdiv;1;OneHot;?;0
cintmaxhard;10000000;Integer;?;0
cintmaxsoft;1000000;Integer;?;0
cliff;1;OneHot;?;0
cliffmaxeff;100000000;Integer;?;0
cliffmineff;10000000;Integer;?;0
cliffreleff;8;Integer;?;0
cliffwait;2;OneHot;?;0
clim;-1;Integer;?;0
compact;0;OneHot;?;0
deco;1;OneHot;?;0
decolim;30;Integer;?;0
decompose;1;OneHot;?;0
defragfree;50;Integer;?;1
defragint;10000000;Integer;?;1
delmax;10;Integer;?;0
dlim;-1;Integer;?;0
elim;1;OneHot;?;0
elmaxeff;800000000;Integer;?;0
elmblk;1;OneHot;?;0
elmblkwait;1;OneHot;?;0
elmboost;40;Integer;?;1
elmclslim;1000000;Integer;?;1
elmfull;0;OneHot;?;0
elmineff;20000000;Integer;?;0
elmlitslim;200;Integer;?;0
elmocclim;1000000;Integer;?;1
elmocclim1;1000;Integer;?;1
elmocclim2;100;Integer;?;1
elmreleff;200;Integer;?;0
elmroundlim;3;Integer;?;1
elmrtc;0;OneHot;?;0
elmsched2b2;0;OneHot;?;0
elmschediff;0;OneHot;?;0
elmschedmin;0;OneHot;?;0
elmschedprod;0;OneHot;?;0
elmschedpure;1;OneHot;?;0
elmschedsum;1;OneHot;?;0
elmsuccesslim;1000;Integer;?;0
elmsuccessrat;1000;Integer;?;1
factmax;100000;Integer;?;1
factor;3;OneHot;?;0
flipdur;10;Integer;?;1
flipint;10;Integer;?;0
flipldmod;4;Integer;?;0
fliplevels;6;Integer;?;0
flipping;1;OneHot;?;0
fliptop;1;OneHot;?;0
flipvlim;100000;Integer;?;0
force;0;Integer;?;0
gauss;1;OneHot;?;0
gaussexptrn;1;OneHot;?;0
gaussextrall;1;OneHot;?;0
gaussmaxeff;50000000;Integer;?;0
gaussmaxor;20;Integer;?;0
gaussmineff;2000000;Integer;?;0
gaussreleff;2;Integer;?;0
gausswait;2;OneHot;?;0
gluekeep;3;Integer;?;0
gluescale;4;OneHot;?;0
import;1;OneHot;?;0
incredcint;1;Integer;?;1
incredconfslim;0;Integer;?;0
incsavevisits;0;OneHot;?;0
inprocessing;1;OneHot;?;0
irrlim;1;OneHot;?;0
itlocsdel;100;Integer;?;0
itsimpdel;20;Integer;?;0
jwhred;1;OneHot;?;0
keepmaxglue;1;OneHot;?;0
lftmaxeff;20000000;Integer;?;0
lftmineff;500000;Integer;?;0
lftreleff;6;Integer;?;0
lftroundlim;5;Integer;?;0
lhbr;1;OneHot;?;0
lift;1;OneHot;?;0
liftlrg;3;Integer;?;0
liftwait;2;OneHot;?;0
lkhd;2;OneHot;?;0
lkhdmisifelmrtc;0;OneHot;?;0
locs;0;Integer;?;0
locsboost;2;Integer;?;0
locscint;10000;Integer;?;1
locsdec;2;OneHot;?;0
locset;2;OneHot;?;0
locsexport;1;OneHot;?;0
locsmaxeff;100000;Integer;?;0
locsmineff;1000;Integer;?;0
locsclim;1000000;Integer;?;0
locsred;0;OneHot;?;0
locsreleff;5;Integer;?;0
locsrtc;0;OneHot;?;0
locsvared;100;Integer;?;0
locswait;2;OneHot;?;0
maxglue;2147483647;Integer;?;0
maxscorexp;500;Integer;?;1
mega;0;OneHot;?;0
megaint;4;Integer;?;1
megawait;2;OneHot;?;0
memlim;-1;Integer;?;0
minimize;2;OneHot;?;0
minlocalgluelim;30;Integer;?;0
minrecgluelim;20;Integer;?;0
mocint;1000;Integer;?;1
move;2;OneHot;?;0
otfs;1;OneHot;?;0
otfsbump;0;OneHot;?;0
otfsconf;0;OneHot;?;0
penmax;4;Integer;?;0
phase;0;OneHot;?;0
phaseflip;0;OneHot;?;0
phasegluebit;0;Integer;?;0
phaseneginit;0;Integer;?;0
plain;0;OneHot;?;0
plim;-1;Integer;?;0
prbasic;1;OneHot;?;0
prbasicmaxeff;100000000;Integer;?;0
prbasicmineff;1000000;Integer;?;0
prbasicreleff;10;Integer;?;0
prbasicroundlim;9;Integer;?;1
prbasicrtc;0;OneHot;?;0
prbrtc;0;OneHot;?;0
prbsimple;2;OneHot;?;0
prbsimpleboost;10;Integer;?;1
prbsimpleliftdepth;2;OneHot;?;0
prbsimplemaxeff;200000000;Integer;?;0
prbsimplemineff;2000000;Integer;?;0
prbsimplereleff;40;Integer;?;0
prbsimplertc;0;OneHot;?;0
probe;1;OneHot;?;0
psm;3;OneHot;?;0
pure;1;OneHot;?;0
randec;0;OneHot;?;0
randecflipint;0;Integer;?;0
randecint;1000;Integer;?;1
rdp;0;OneHot;?;0
rdpclslim;3;Integer;?;0
rdplim;100;Integer;?;0
rdpmaxeff;10000000;Integer;?;0
rdpmineff;10000;Integer;?;0
rdpmodelm;0;OneHot;?;0
rdpreleff;2;Integer;?;0
rdpwait;2;OneHot;?;0
redfixed;0;OneHot;?;0
redinoutinc;100;Integer;?;1
redlbound;0;OneHot;?;0
redlexpfac;10;Integer;?;0
redlinc;1000;Integer;?;1
redlinit;4000;Integer;?;1
redlmaxabs;1000000;Integer;?;1
redlmaxinc;200;Integer;?;1
redlmaxrel;300;Integer;?;1
redlminabs;500;Integer;?;1
redlmininc;10;Integer;?;1
redlminrel;10;Integer;?;1
redloutinc;10000;Integer;?;0
redoutclim;5000;Integer;?;0
redoutvlim;1000;Integer;?;0
reduce;2;OneHot;?;0
rephase;1;OneHot;?;0
rephaseinc;10000;Integer;?;1
restart;2;OneHot;?;0
restartinit;0;Integer;?;0
restartint;5;Integer;?;1
restartintscale;0;OneHot;?;0
reusetrail;1;OneHot;?;0
rmincpen;4;Integer;?;0
rstinoutinc;110;Integer;?;1
saturating;70;Integer;?;0
scincinc;200;Integer;?;0
score;5;OneHot;?;0
#seed;0;Integer;?;0
simpdelay;0;Integer;?;0
simpen;0;Integer;?;0
simpidiv;3;Integer;?;0
simpinterdelay;2000;Integer;?;0
simpiscale;100;Integer;?;1
simplify;2;OneHot;?;0
simprtc;5;Integer;?;0
simpvarchg;100;Integer;?;1
simpvarlim;100;Integer;?;0
sizemaxpen;5;Integer;?;0
sizepen;1000000;Integer;?;1
smallirr;90;Integer;?;0
smallve;1;OneHot;?;0
smallvevars;10;OneHot;?;0
smallvewait;0;OneHot;?;0
sortlits;0;OneHot;?;0
subl;9;Integer;?;0
synclsall;1;OneHot;?;0
synclsglue;8;Integer;?;0
synclsint;100;Integer;?;0
synclslen;40;Integer;?;0
syncunint;111111;Integer;?;0
tabr;3;OneHot;?;0
tabrcfactor;2;Integer;?;1
tabrkeep;3;OneHot;?;0
tabrvfactor;4;Integer;?;1
termint;122222;Integer;?;0
ternres;1;OneHot;?;0
ternresboost;5;Integer;?;0
ternresrtc;0;OneHot;?;0
ternreswait;2;OneHot;?;0
transred;1;OneHot;?;0
transredwait;2;OneHot;?;0
trdmaxeff;2000000;Integer;?;0
trdmineff;100000;Integer;?;0
trdreleff;10;Integer;?;0
treelook;1;OneHot;?;0
treelookboost;20;Integer;?;1
treelookfull;0;OneHot;?;0
treelooklrg;1;OneHot;?;0
treelookmaxeff;50000000;Integer;?;0
treelookmineff;300000;Integer;?;0
treelookreleff;1;Integer;?;0
treelookrtc;0;OneHot;?;0
trep;0;OneHot;?;0
trepint;55555;Integer;?;1
trnreleff;10;Integer;?;0
trnrmaxeff;200000000;Integer;?;0
trnrmineff;4000000;Integer;?;0
unhdatrn;2;OneHot;?;0
unhdextstamp;1;OneHot;?;0
unhdhbr;0;OneHot;?;0
unhdlnpr;3;Integer;?;0
unhdmaxeff;20000000;Integer;?;0
unhdmineff;100000;Integer;?;0
unhdreleff;2;Integer;?;0
unhdroundlim;20;Integer;?;0
unhide;1;OneHot;?;0
unhidewait;0;OneHot;?;0
wait;1;OneHot;?;0
waitmax;4;Integer;?;0
